Measurement Number, Transmitter, TX Power, Mode, RSSI
486, 0, 0, 1, -74
487, 0, 0, 1, -73
488, 0, 0, 1, -74
489, 0, 0, 1, -73
490, 0, 0, 1, -73
491, 0, 0, 1, -74
492, 0, 0, 1, -73
493, 0, 0, 1, -73
494, 0, 0, 1, -73
495, 0, 0, 1, -74
496, 0, 0, 1, -74
497, 0, 0, 1, -74
498, 0, 0, 1, -74
499, 0, 0, 1, -73
500, 1, 0, 1, -65
501, 1, 0, 1, -65
502, 1, 0, 1, -65
503, 1, 0, 1, -65
504, 1, 0, 1, -65
505, 1, 0, 1, -65
506, 1, 0, 1, -65
507, 1, 0, 1, -65
508, 1, 0, 1, -65
509, 1, 0, 1, -65
510, 1, 0, 1, -65
511, 1, 0, 1, -65
512, 1, 0, 1, -65
513, 1, 0, 1, -65
514, 1, 0, 1, -65
515, 1, 0, 1, -65
516, 1, 0, 1, -65
517, 1, 0, 1, -65
518, 1, 0, 1, -65
519, 1, 0, 1, -65
520, 0, 2, 1, -70
521, 0, 2, 1, -70
522, 0, 2, 1, -70
523, 0, 2, 1, -70
524, 0, 2, 1, -70
525, 0, 2, 1, -70
526, 0, 2, 1, -70
527, 0, 2, 1, -70
528, 0, 2, 1, -70
529, 0, 2, 1, -70
530, 0, 2, 1, -70
531, 0, 2, 1, -70
532, 0, 2, 1, -70
533, 0, 2, 1, -70
534, 0, 2, 1, -70
535, 0, 2, 1, -70
536, 0, 2, 1, -70
537, 0, 2, 1, -70
538, 0, 2, 1, -70
539, 0, 2, 1, -70
540, 1, 2, 1, -61
541, 1, 2, 1, -63
542, 1, 2, 1, -63
543, 1, 2, 1, -62
544, 1, 2, 1, -63
545, 1, 2, 1, -63
546, 1, 2, 1, -63
547, 1, 2, 1, -63
548, 1, 2, 1, -62
549, 1, 2, 1, -65
550, 1, 2, 1, -61
551, 1, 2, 1, -61
552, 1, 2, 1, -63
553, 1, 2, 1, -60
554, 1, 2, 1, -63
555, 1, 2, 1, -62
556, 1, 2, 1, -62
557, 1, 2, 1, -61
558, 1, 2, 1, -63
559, 1, 2, 1, -60
560, 0, 3, 1, -68
561, 0, 3, 1, -69
562, 0, 3, 1, -69
563, 0, 3, 1, -68
564, 0, 3, 1, -68
565, 0, 3, 1, -68
566, 0, 3, 1, -69
567, 0, 3, 1, -69
568, 0, 3, 1, -68
569, 0, 3, 1, -69
570, 0, 3, 1, -69
571, 0, 3, 1, -69
572, 0, 3, 1, -68
573, 0, 3, 1, -69
574, 0, 3, 1, -68
575, 0, 3, 1, -69
576, 0, 3, 1, -69
577, 0, 3, 1, -69
578, 0, 3, 1, -69
579, 0, 3, 1, -68
580, 1, 3, 1, -61
581, 1, 3, 1, -61
582, 1, 3, 1, -61
583, 1, 3, 1, -61
584, 1, 3, 1, -61
585, 1, 3, 1, -61
586, 1, 3, 1, -61
587, 1, 3, 1, -61
588, 1, 3, 1, -60
589, 1, 3, 1, -61
590, 1, 3, 1, -61
591, 1, 3, 1, -60
592, 1, 3, 1, -61
593, 1, 3, 1, -61
594, 1, 3, 1, -61
595, 1, 3, 1, -61
596, 1, 3, 1, -61
597, 1, 3, 1, -61
598, 1, 3, 1, -60
599, 1, 3, 1, -61
600, 0, 4, 1, -68
601, 0, 4, 1, -68
602, 0, 4, 1, -68
603, 0, 4, 1, -68
604, 0, 4, 1, -68
605, 0, 4, 1, -68
606, 0, 4, 1, -68
607, 0, 4, 1, -68
608, 0, 4, 1, -68
609, 0, 4, 1, -68
610, 0, 4, 1, -68
611, 0, 4, 1, -68
612, 0, 4, 1, -68
613, 0, 4, 1, -68
614, 0, 4, 1, -68
615, 0, 4, 1, -68
616, 0, 4, 1, -68
617, 0, 4, 1, -68
618, 0, 4, 1, -68
619, 0, 4, 1, -68
620, 1, 4, 1, -60
621, 1, 4, 1, -60
622, 1, 4, 1, -60
623, 1, 4, 1, -60
624, 1, 4, 1, -60
625, 1, 4, 1, -60
626, 1, 4, 1, -60
627, 1, 4, 1, -60
628, 1, 4, 1, -60
629, 1, 4, 1, -60
630, 1, 4, 1, -60
631, 1, 4, 1, -60
632, 1, 4, 1, -60
633, 1, 4, 1, -60
634, 1, 4, 1, -60
635, 1, 4, 1, -60
636, 1, 4, 1, -60
637, 1, 4, 1, -60
638, 1, 4, 1, -60
639, 1, 4, 1, -60
640, 0, 5, 1, -67
641, 0, 5, 1, -66
642, 0, 5, 1, -67
643, 0, 5, 1, -67
644, 0, 5, 1, -67
645, 0, 5, 1, -67
646, 0, 5, 1, -67
647, 0, 5, 1, -67
648, 0, 5, 1, -67
649, 0, 5, 1, -67
650, 0, 5, 1, -67
651, 0, 5, 1, -67
652, 0, 5, 1, -67
653, 0, 5, 1, -67
654, 0, 5, 1, -67
655, 0, 5, 1, -67
656, 0, 5, 1, -67
657, 0, 5, 1, -67
658, 0, 5, 1, -67
659, 0, 5, 1, -67
660, 1, 5, 1, -59
661, 1, 5, 1, -59
662, 1, 5, 1, -59
663, 1, 5, 1, -59
664, 1, 5, 1, -61
665, 1, 5, 1, -59
666, 1, 5, 1, -59
667, 1, 5, 1, -60
668, 1, 5, 1, -59
669, 1, 5, 1, -59
670, 1, 5, 1, -59
671, 1, 5, 1, -59
672, 1, 5, 1, -59
673, 1, 5, 1, -59
674, 1, 5, 1, -59
675, 1, 5, 1, -59
676, 1, 5, 1, -59
677, 1, 5, 1, -59
678, 1, 5, 1, -59
679, 1, 5, 1, -59
680, 0, 6, 1, -66
681, 0, 6, 1, -66
682, 0, 6, 1, -66
683, 0, 6, 1, -68
684, 0, 6, 1, -66
685, 0, 6, 1, -66
686, 0, 6, 1, -66
