TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
5,100.0,95.0,100.0,37.5,30.0,45.0,57.5,50.0,70.0,60.0,50.0,70.0,100.0,100.0,100.0
6,95.0,95.0,100.0,20.0,20.0,30.0,52.5,45.0,70.0,55.0,40.0,60.0,100.0,100.0,100.0
7,95.0,90.0,100.0,10.0,5.0,15.0,45.0,40.0,45.0,45.0,40.0,65.0,100.0,100.0,100.0
8,90.0,85.0,95.0,5.0,0.0,10.0,40.0,40.0,50.0,40.0,30.0,45.0,97.5,95.0,100.0
9,95.0,75.0,95.0,0.0,0.0,0.0,45.0,30.0,55.0,50.0,30.0,65.0,100.0,90.0,100.0
10,85.0,80.0,95.0,0.0,0.0,0.0,35.0,25.0,40.0,35.0,25.0,45.0,95.0,90.0,100.0
11,80.0,75.0,90.0,0.0,0.0,0.0,35.0,30.0,45.0,35.0,20.0,40.0,100.0,90.0,100.0
12,85.0,70.0,85.0,0.0,0.0,0.0,27.5,15.0,35.0,20.0,15.0,30.0,90.0,80.0,100.0
13,75.0,70.0,85.0,0.0,0.0,0.0,25.0,15.0,30.0,15.0,10.0,35.0,90.0,85.0,95.0
14,80.0,65.0,85.0,0.0,0.0,0.0,15.0,5.0,30.0,20.0,0.0,30.0,90.0,80.0,100.0
15,80.0,65.0,85.0,0.0,0.0,0.0,7.5,5.0,15.0,10.0,5.0,25.0,85.0,80.0,95.0
16,35.0,,,0.0,0.0,0.0,0.0,,,27.5,,,100.0,95.0,100.0
20,85.0,55.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,77.5,75.0,80.0
25,95.0,80.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,65.0
30,80.0,75.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,40.0
35,95.0,85.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,30.0,45.0
40,100.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,35.0,45.0
45,100.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,50.0,60.0
50,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,65.0,80.0
60,100.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,50.0,75.0
70,95.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,70.0,70.0,80.0
75,32.5,,,0.0,0.0,0.0,0.0,,,0.0,,,65.0,50.0,70.0
80,90.0,80.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,55.0,75.0
90,85.0,75.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,75.0,35.0,85.0
100,100.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,35.0
120,100.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,90.0,75.0,95.0
140,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,55.0,90.0
